id	title	production	length	presentation	youtube	links	embedding
2	Afrikai võlegény	1944	80	1944.01.31	1	https://youtu.be/ZjgAhacoPpY	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZjgAhacoPpY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
3	Akit elkap az ár	1941		1942.01.15	0		
4	Alkalom	1942	76	1942.10.26	1		
5	András	1941		1941.04.29	0		
6	Annamária	1942	84	1943.02.01	0		
7	Az aranyember	1936	97	1936.12.18	1	https://www.youtube.com/watch?v=epvlowrlclM	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/epvlowrlclM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
8	Azurexpress	1938	70	1938.10.14	1	https://www.youtube.com/watch?v=3T9_cW2qAsg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/3T9_cW2qAsg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
9	Áll a bál	1939	97	1939.09.28	1		
10	Álomkeringõ	1942	86	1943.02.11	1	https://www.youtube.com/watch?v=pTU5MCpf65o	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/pTU5MCpf65o"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
11	Bajtársak	1942	79	1942.12.01	0	https://www.youtube.com/watch?v=GXdaT1woUDg&t=1073s	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/GXdaT1woUDg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
12	Balkezes angyal	1940	77	1941.04.12	1	https://www.youtube.com/watch?v=qHXVYCT99gE	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qHXVYCT99gE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
13	Beáta és az ördög	1940	89	1941.05.07	0		
14	Behajtani tilos!	1941	81	1942.02.12	1	https://www.youtube.com/watch?v=ZHKYt6INVxc	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ZHKYt6INVxc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
15	Bercsényi huszárok	1939	73	1940.01.04	1	https://www.youtube.com/watch?v=-aTyCmigiE0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-aTyCmigiE0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
16	A beszélõ köntös	1941	84	1942.02.21	1	https://www.youtube.com/watch?v=6KKhz6DLqJk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/6KKhz6DLqJk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
17	Bob herceg	1941	82	1941.11.20	1	https://www.youtube.com/watch?v=tS3mXpUh3dI	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/tS3mXpUh3dI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
18	Boldoggá teszlek	1944	73		1	https://www.youtube.com/watch?v=HFkVh6pYMSk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HFkVh6pYMSk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
19	A bor	1933	106	1933.09.28	0		
20	Borcsa Amerikában	1938	78	1938.08.16	1	https://www.youtube.com/watch?v=LnT03v9irmg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/LnT03v9irmg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
21	Bûnös vagyok	1941	97	1942.06.03	1	https://www.youtube.com/watch?v=Z4hHwrO6oUA	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z4hHwrO6oUA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
22	Café Moszkva	1935	68	1936.02.13	1	https://www.youtube.com/watch?v=qMD8ndaspU0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/qMD8ndaspU0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
23	Címzett ismeretlen	1935	81	1935.12.21	1	https://www.youtube.com/watch?v=gs37gWxHKC0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/gs37gWxHKC0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
24	Csalódás	1942	77	1943.03.26	1	https://www.youtube.com/watch?v=xcu3UbTLIgQ	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xcu3UbTLIgQ"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
25	Csákó és kalap	1941	57	1941.08.21	1		
26	Cserebere	1940	81	1940.11.13	1		
27	Csókolj meg, édes!	1932	102	1932.03.05	1		
28	Dankó Pista	1940	88	1941.01.16	1	https://www.youtube.com/watch?v=uBKwxGXJveE	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/uBKwxGXJveE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
